College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E005,CS Computers,1G,1,2,2020,KCET,567.0
E005,DS Comp. Sc. Engg- Data Sc.,3AG,1,1,2022,KCET,567.0
E005,IE Info.Science,3AG,1,2,2021,KCET,575.0
E005,AI Artificial Intelligence,3AG,1,1,2021,KCET,575.0
E005,DS Comp. Sc. Engg- Data Sc.,GM,1,2,2022,KCET,576.0
E005,AI Artificial Intelligence,GM,1,2,2022,KCET,580.0
E009,CS Computers,GM,1,1,2020,KCET,587.0
E048,CS Computers,GM,1,1,2020,KCET,588.0
E005,CS Computers,1G,1,3,2021,KCET,593.0
E005,CS Computers,1G,1,2,2021,KCET,593.0
E005,IE Info.Science,1G,1,1,2021,KCET,593.0
E006,"CA CS (AI, Machine Learning)",GM,1,1,2021,KCET,599.0
E005,EC Electronics,GM,1,3,2020,KCET,603.0
E006,CS Computers,GM,1,1,2020,KCET,604.0
E009,CS Computers,GM,1,2,2021,KCET,605.0
E005,CS Computers,3BR,1,1,2022,KCET,606.0
E005,IE Info.Science,GM,1,3,2022,KCET,607.0
E006,CS Computers,3AG,1,1,2021,KCET,610.0
E005,CS Computers,3AG,1,3,2021,KCET,610.0
E005,EC Electronics,GM,1,2,2021,KCET,614.0
E005,CS Computers,3AG,1,2,2022,KCET,614.0
E005,AI Artificial Intelligence,GM,1,3,2021,KCET,614.0
E005,AI Artificial Intelligence,2AG,1,1,2021,KCET,628.0
E005,CS Computers,3AR,1,1,2022,KCET,633.0
E005,AI Artificial Intelligence,2BG,1,1,2021,KCET,650.0
E005,IE Info.Science,2BG,1,2,2021,KCET,650.0
E005,CS Computers,2BG,1,3,2021,KCET,650.0
E005,CS Computers,GMR,1,2,2020,KCET,653.0
E005,IE Info.Science,3BG,1,1,2022,KCET,670.0
E005,IE Info.Science,3AG,1,1,2022,KCET,671.0
E048,CS Computers,GM,1,2,2021,KCET,680.0
E048,CS Computers,GM,1,2,2020,KCET,684.0
E005,IE Info.Science,GMH,1,1,2022,KCET,689.0
E005,CS Computers,GMR,1,3,2021,KCET,694.0
E005,DS Comp. Sc. Engg- Data Sc.,GMR,1,1,2022,KCET,700.0
E005,CS Computers,GMR,1,2,2022,KCET,700.0
E005,CY CS- Cyber Security,GM,1,2,2022,KCET,705.0
E005,CS Computers,3BR,1,2,2020,KCET,709.0
E005,CS Computers,GMR,1,3,2020,KCET,709.0
E005,CS Computers,3BR,1,1,2020,KCET,709.0
E005,IE Info.Science,GMH,1,1,2020,KCET,710.0
E005,IE Info.Science,GMH,1,2,2020,KCET,710.0
E005,IE Info.Science,GMH,1,3,2020,KCET,710.0
E009,CS Computers,GM,1,2,2020,KCET,714.0
E048,IE Info.Science,GM,1,1,2021,KCET,715.0
E006,CS Computers,GM,1,2,2021,KCET,717.0
E005,AI Artificial Intelligence,GMR,1,2,2021,KCET,725.0
E048,AI Artificial Intelligence,GM,1,1,2020,KCET,727.0
E006,CS Computers,GMK,1,1,2021,KCET,733.0
E005,IE Info.Science,3BG,1,3,2020,KCET,739.0
E005,IE Info.Science,3BG,1,2,2020,KCET,739.0
E005,IE Info.Science,3AG,1,2,2020,KCET,741.0
E005,IE Info.Science,3AG,1,3,2020,KCET,741.0
E005,CS Computers,3BG,1,2,2022,KCET,748.0
E005,AI Artificial Intelligence,GMH,1,1,2022,KCET,749.0
E005,CS Computers,GMH,1,2,2022,KCET,749.0
E005,CS Computers,GMK,1,3,2021,KCET,759.0
E005,CS Computers,GMK,1,2,2021,KCET,759.0
E005,CS Computers,3BR,1,3,2020,KCET,763.0
E009,CS Computers,GM,1,3,2021,KCET,763.0
E005,IE Info.Science,GMK,1,1,2022,KCET,769.0
E005,CS Computers,GMK,1,2,2022,KCET,769.0
E005,CS Computers,2AG,1,3,2021,KCET,773.0
E005,CS Computers,2AR,1,1,2021,KCET,773.0
E005,CS Computers,2AR,1,2,2021,KCET,773.0
E005,EC Electronics,GM,1,1,2022,KCET,776.0
E005,CS Computers,1G,1,1,2022,KCET,782.0
E009,CS Computers,GM,1,1,2022,KCET,787.0
E006,CS Computers,3AG,1,1,2020,KCET,795.0
E006,CS Computers,GM,1,2,2020,KCET,795.0
E005,AI Artificial Intelligence,2AG,1,2,2021,KCET,799.0
E005,AI Artificial Intelligence,3AG,1,2,2021,KCET,802.0
E005,EC Electronics,GMH,1,1,2020,KCET,821.0
E005,CS Computers,2AG,1,1,2022,KCET,823.0
E005,CS Computers,3AR,1,2,2022,KCET,824.0
E005,CS Computers,2AH,1,1,2022,KCET,826.0
E005,CS Computers,GMH,1,3,2022,KCET,826.0
E006,CS Computers,GM,1,1,2022,KCET,827.0
E048,CS Computers,3AG,1,1,2021,KCET,827.0
E005,DS Comp. Sc. Engg- Data Sc.,3BG,1,1,2022,KCET,832.0
E006,CS Computers,3BG,1,1,2021,KCET,834.0
E006,CS Computers,3BG,1,2,2021,KCET,834.0
E006,"CA CS (AI, Machine Learning)",GM,1,2,2021,KCET,837.0
E048,CS Computers,GM,1,1,2022,KCET,841.0
E005,IE Info.Science,1G,1,1,2022,KCET,845.0
E005,IE Info.Science,3AG,1,2,2022,KCET,855.0
E005,IE Info.Science,3AG,1,3,2022,KCET,855.0
E006,IE Info.Science,GM,1,1,2021,KCET,863.0
E005,CS Computers,2BG,1,1,2020,KCET,865.0
E005,IE Info.Science,GMR,1,1,2022,KCET,879.0
E005,CS Computers,3BR,1,2,2022,KCET,879.0
E005,IE Info.Science,GMR,1,3,2021,KCET,882.0
E005,CS Computers,2AG,1,1,2020,KCET,884.0
E005,IE Info.Science,1G,1,1,2020,KCET,885.0
E005,IE Info.Science,1G,1,3,2020,KCET,885.0
E005,IE Info.Science,1G,1,2,2020,KCET,885.0
E048,IE Info.Science,GM,1,1,2020,KCET,894.0
E005,CS Computers,2AK,1,2,2021,KCET,895.0
E005,CS Computers,2AK,1,1,2021,KCET,895.0
E005,CS Computers,2AK,1,3,2021,KCET,895.0
E048,AI Artificial Intelligence,GM,1,1,2021,KCET,898.0
E005,CS Computers,2AG,1,2,2022,KCET,903.0
E009,CS Computers,GM,1,3,2020,KCET,904.0
E006,CY CS- Cyber Security,GM,1,1,2021,KCET,904.0
E005,CS Computers,3BG,1,3,2022,KCET,910.0
E048,CS Computers,GM,1,3,2020,KCET,919.0
E009,CS Computers,3AG,1,1,2021,KCET,921.0
E005,CS Computers,1G,1,2,2022,KCET,923.0
E048,CS Computers,GM,1,3,2021,KCET,925.0
E006,AI Artificial Intelligence,GM,1,1,2021,KCET,929.0
E005,DS Comp. Sc. Engg- Data Sc.,GMH,1,1,2022,KCET,931.0
E006,IE Info.Science,GM,1,1,2020,KCET,941.0
E005,CS Computers,3BH,1,1,2022,KCET,943.0
E005,CS Computers,3BH,1,2,2022,KCET,943.0
E005,AI Artificial Intelligence,GMH,1,3,2021,KCET,947.0
E005,IE Info.Science,1G,1,2,2022,KCET,948.0
E005,IE Info.Science,1G,1,3,2022,KCET,948.0
E005,AI Artificial Intelligence,3AG,1,1,2022,KCET,950.0
E005,AI Artificial Intelligence,3AG,1,2,2022,KCET,950.0
E005,CY CS- Cyber Security,3BG,1,1,2022,KCET,958.0
E006,CS Computers,GM,1,3,2021,KCET,962.0
E006,CS Computers,GM,1,3,2020,KCET,962.0
E005,IE Info.Science,2BG,1,1,2020,KCET,963.0
E006,"CA CS (AI, Machine Learning)",3AG,1,1,2021,KCET,963.0
E005,CS Computers,1G,1,3,2022,KCET,964.0
E048,CS Computers,GMK,1,1,2021,KCET,965.0
E005,CS Computers,STG,1,1,2022,KCET,969.0
E006,CS Computers,GMH,1,1,2020,KCET,974.0
E005,CY CS- Cyber Security,GMH,1,1,2022,KCET,982.0
E005,IE Info.Science,GMR,1,2,2020,KCET,984.0
E005,IE Info.Science,GMR,1,1,2020,KCET,984.0
E048,CS Computers,3AG,1,2,2021,KCET,985.0
E006,CS Computers,3AG,1,2,2021,KCET,989.0
E005,EC Electronics,3AG,1,1,2021,KCET,989.0
E006,CS Computers,GMH,1,2,2021,KCET,989.0
E006,CS Computers,GMR,1,1,2021,KCET,989.0
E006,CS Computers,3AG,1,3,2021,KCET,989.0
E048,CS Computers,GMH,1,1,2021,KCET,991.0
E006,CS Computers,GMH,1,3,2021,KCET,991.0
E006,CS Computers,GMK,1,2,2021,KCET,991.0
E005,CS Computers,3BG,1,3,2021,KCET,1003.0
E006,"AD Artificial Intel, Data Sc",GM,1,1,2021,KCET,1004.0
E005,CS Computers,2AG,1,3,2020,KCET,1011.0
E005,CS Computers,2AG,1,2,2020,KCET,1011.0
E005,AI Artificial Intelligence,GMR,1,1,2022,KCET,1011.0
E005,IE Info.Science,3BG,1,3,2021,KCET,1015.0
E006,CS Computers,3BR,1,1,2021,KCET,1017.0
E006,CS Computers,STG,1,1,2022,KCET,1021.0
