college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,ME,Mechanical,68880.0,,,60660.0,96381.0,,76088.0,,,4872.0,,
E057,JSS Science and Technology University(Formerly SJCE)  Mysore,BT,Biotechnology,,,,33334.0,,,50560.0,,,4061.0,,
E057,JSS Science and Technology University(Formerly SJCE)  Mysore,CE,Civil Engineering,90424.0,,,68628.0,109462.0,96549.0,,,,6394.0,,
E057,JSS Science and Technology University(Formerly SJCE)  Mysore,IE,Information Science,11700.0,,,8543.0,,9643.0,9753.0,,,4673.0,,
E057,JSS Science and Technology University(Formerly SJCE)  Mysore,ME,Mechanical,85151.0,,126121.0,64164.0,,,71218.0,,,,,
E058,P E S College of Engineering  Mandya,CS,Computer Science,30003.0,,,32260.0,,36242.0,35432.0,161557.0,,2858.0,,
E058,P E S College of Engineering  Mandya,CE,Civil Engineering,,,,,,,,,,,,
E058,P E S College of Engineering  Mandya,CS,Computer Science,28855.0,,,30270.0,31569.0,31844.0,28994.0,,62902.0,2518.0,,
E058,P E S College of Engineering  Mandya,EC,Electronics,38689.0,,,36374.0,,39343.0,44605.0,,,3351.0,,
E058,P E S College of Engineering  Mandya,EE,Electrical,,,,51006.0,,,,,,,,
E058,P E S College of Engineering  Mandya,IE,Information Science,31630.0,,,31486.0,,35254.0,37553.0,,,2815.0,,
E059,P D A College of Engineering  Gulbarga,AI,Artificial Intelligence,59537.0,,,65215.0,,,,,,,,
E059,P D A College of Engineering  Gulbarga,CE,Civil Engineering,,,,179429.0,,210808.0,,,,,,
E059,P D A College of Engineering  Gulbarga,CS,Computer Science,41805.0,,,44896.0,,49216.0,34159.0,,,4671.0,,
