College_Branch_target_enc,hist_mean,hist_count
25348.987968494792,19283.0,1
25353.10442694155,36882.0,1
25354.55048044104,27889.4375,48
25358.88531446169,30771.947368421053,19
25362.242480309244,22205.0,1
25394.66523434462,36108.63636363636,11
25413.523236594992,25739.020833333332,48
25431.617480309244,20254.25,4
25515.64012968937,27827.618181818183,55
25527.023148365937,25460.03846153846,26
25527.3328775945,22245.0,25
25536.84854892485,10519.5,2
25561.367480309244,23720.0,2
25569.376556085856,25304.16129032258,31
25574.313280824656,9796.0,1
25576.1879684948,5769.0,1
25593.582566002533,27340.071428571428,42
25655.48616131067,27000.409090909092,44
25697.196545552106,25683.61176470588,85
25718.73496061849,24263.0,5
25747.35723449166,33634.63636363636,33
25749.659982497105,22507.0,1
25755.5879684948,4872.0,1
25758.4758721824,25504.166666666668,60
25796.941455545988,25219.3488372093,43
25850.326649163773,17272.333333333332,3
25866.77999908944,21679.865384615383,52
25869.686870987043,25074.314814814814,54
25913.89930062216,29632.093333333334,75
25926.46077690264,25867.755102040817,49
25931.178630749862,22644.574074074073,54
25940.053154237827,17050.290322580644,31
25959.867480309244,17424.0,1
26003.23496061849,22918.0,1
26011.277473951886,21728.217391304348,46
26041.13426321056,38244.0,4
26045.1879684948,33616.5,2
26056.578906243027,25223.846153846152,52
26057.572523507155,23970.74418604651,43
26138.20190922738,26965.4358974359,39
26145.96517150847,26857.06976744186,43
26150.393941956994,25147.48148148148,54
26156.646614157988,35964.0,1
26171.326649163773,29518.0,1
26194.1603562052,26604.755102040817,49
26202.6555187398,22448.60714285714,28
26208.59060903008,32606.823529411766,17
26219.535816749765,19442.6,35
26226.385546804107,23517.0,3
26228.41997749628,10900.666666666666,3
26230.367480309244,14347.0,1
26245.27712035342,20693.0,2
26246.63545215869,42444.94117647059,17
26271.617480309244,20879.0,2
26286.875298813244,27291.0625,80
26363.98496061849,20913.0,1
26384.181988079967,25797.63888888889,36
26406.77109360821,4324.333333333333,3
26408.35652900484,35969.96153846154,52
26414.48496061849,23902.5,2
26435.0663020756,31719.0,47
26447.13266491638,34110.32352941176,34
26452.742480309244,21316.0,2
26475.8939842474,22197.0,2
26476.646614157988,14885.0,1
26479.50494653933,23158.384615384617,39
26537.242480309244,19816.5,2
26541.60375554555,22402.57894736842,38
26551.617480309244,24185.0,4
26585.348728908524,18579.967741935485,31
26605.97994749132,35419.0,1
26637.617480309244,25979.5,2
26695.815098826,31202.470588235294,17
26697.774435693,20688.666666666668,3
26729.7637385567,31581.96,25
26760.48496061849,19889.0,1
26776.616868195422,30242.39393939394,33
26830.78796849479,19309.0,1
26834.374641919487,24409.73469387755,49
26850.286218551668,34586.35135135135,37
26855.0939842474,20301.0,2
26856.98674803093,24414.444444444445,18
26874.659370903,31003.19230769231,52
26905.78796849479,31798.0,1
26917.98796849479,11438.0,1
26986.10442694155,11379.0,1
26998.646614157988,1663.0,1
27014.6041955861,23519.764705882353,17
27023.27712035342,18934.0,2
27037.78796849479,30995.666666666668,3
27055.326649163773,13506.0,1
27068.07032523084,21558.21568627451,51
27075.19876702594,33946.13333333333,45
27077.10442694155,37326.0,1
27113.705691782,43553.0,1
27130.58796849479,10375.0,1
27149.21380827361,28535.566666666666,30
27171.657367039246,28815.91176470588,34
27180.62760200392,28228.914285714287,35
27242.313280824656,16407.0,1
27273.933366543235,29777.340425531915,47
27307.163324581885,17032.333333333332,3
27328.646614157988,13531.0,1
