College_Code,Year,Cutoff_Rank
E101,2021,75067.0
E101,2022,70452.5
E101,2023,76200.0
E101,2024,119992.0
E102,2020,87647.0
E102,2021,76023.0
E102,2022,66453.0
E102,2023,66028.0
E102,2024,80155.0
E103,2020,55282.5
E103,2021,49140.0
E103,2022,50282.0
E103,2023,44366.0
E103,2024,62571.5
E104,2020,90891.0
E104,2021,71659.0
E104,2022,68651.0
E104,2023,70083.0
E104,2024,106820.0
E105,2020,34402.0
E105,2021,32955.0
E105,2022,34688.0
E105,2023,33955.0
E105,2024,34850.0
E106,2020,86676.0
E106,2021,79323.5
E106,2022,78956.5
E106,2023,71768.5
E106,2024,107567.0
E107,2020,28244.5
E107,2021,26596.0
E107,2022,27496.0
E107,2023,29136.0
E107,2024,35187.0
E108,2020,51215.0
E108,2021,48691.0
E108,2022,58420.0
E108,2023,61433.5
E108,2024,105861.0
E109,2020,139113.5
E109,2021,89869.0
E109,2022,86127.5
E109,2023,85094.0
E109,2024,125297.5
E111,2020,75509.0
E111,2021,71242.0
E111,2022,74518.0
E111,2023,73326.0
E111,2024,103946.0
E112,2020,106384.0
E112,2021,82389.0
E112,2022,81014.5
E112,2023,79506.0
E112,2024,128130.0
E113,2020,133145.0
E113,2021,97147.5
E113,2022,88748.0
E113,2023,80197.0
E113,2024,129303.5
E114,2020,61591.0
E114,2021,60662.0
E114,2022,60411.0
E114,2023,76565.0
E114,2024,83279.0
E115,2020,35333.0
E115,2021,35121.0
E115,2022,46782.0
E115,2023,65816.0
E115,2024,60201.0
E116,2020,148765.0
E116,2021,104809.0
E116,2022,89651.0
E116,2023,90022.0
E116,2024,139354.0
E118,2020,27842.0
E118,2021,33192.5
E118,2022,29644.5
E118,2023,26776.5
E118,2024,37635.0
E119,2020,140486.0
E119,2021,120768.5
E119,2022,100787.0
E119,2023,106898.5
E119,2024,156185.0
E120,2020,132190.0
E120,2021,119264.0
E120,2022,90421.5
E120,2023,100280.0
E120,2024,142966.0
E121,2020,135835.0
E121,2021,98546.0
E121,2022,73989.0
E121,2023,82810.0
E121,2024,123081.0
E123,2020,62768.0
E123,2021,73013.0
E123,2022,66558.0
E123,2023,78875.0
E123,2024,92427.0
E124,2020,109830.0
E124,2021,84778.5
E124,2022,90016.0
E124,2023,97357.5
E124,2024,131967.0
E126,2020,29624.5
E126,2021,25747.0
E126,2022,23958.0
E126,2023,30361.0
E126,2024,31057.5
E127,2020,141797.0
E127,2021,99268.0
E127,2022,82576.0
E127,2023,87513.0
E127,2024,139529.0
E128,2020,91106.5
E128,2021,87263.0
E128,2022,72207.0
E128,2023,71777.0
E128,2024,118525.0
E129,2020,40827.5
E129,2021,67963.0
E129,2022,51670.0
E129,2023,78768.0
E129,2024,63348.5
E130,2020,137101.0
E130,2021,98275.0
E130,2022,86290.0
E130,2023,93339.0
E130,2024,133888.0
E132,2020,149621.0
E132,2021,107997.0
E132,2022,90698.0
E132,2023,101841.5
E132,2024,155915.0
E133,2020,65358.5
E133,2021,46333.0
E133,2022,42880.5
E133,2023,41287.0
E133,2024,51354.0
E134,2020,94889.0
E134,2021,78120.0
E134,2022,72374.0
E134,2023,97882.0
E134,2024,136102.0
E135,2020,93706.0
E135,2021,70717.0
E135,2022,75250.5
E135,2023,69601.5
E135,2024,111887.5
E136,2020,134490.0
E136,2021,103730.0
E136,2022,105289.0
E136,2023,108459.0
E136,2024,143598.5
E139,2020,128829.0
E139,2021,100048.0
E139,2022,94830.0
E139,2023,100602.5
E139,2024,129332.0
E141,2020,20991.0
E141,2021,15345.0
E141,2022,16814.0
E141,2023,15568.0
E141,2024,61793.0
E142,2020,68731.0
E142,2021,74557.0
E142,2022,70152.0
E142,2023,69035.0
E142,2024,127508.0
E144,2020,89835.0
E144,2021,92875.5
E144,2022,90173.0
E144,2023,104736.0
E144,2024,129616.0
E145,2020,73091.0
E145,2021,72139.5
E145,2022,74745.5
E145,2023,69249.0
E145,2024,84270.0
E146,2020,148701.5
E146,2021,120694.0
E146,2022,101805.0
E146,2023,107496.5
E146,2024,140153.0
E147,2020,116076.5
E147,2021,83343.0
E147,2022,76235.0
E147,2023,83696.0
E147,2024,123661.0
E149,2020,57743.0
E149,2021,58281.0
E149,2022,54339.0
E149,2023,55961.5
E149,2024,61720.0
E150,2020,62929.0
E150,2021,61527.5
E150,2022,68874.0
E150,2023,77928.0
E150,2024,103412.0
E151,2020,59400.0
